"her error","her cputime","her dtArray"
2.065628861e-07,5.1,35
5.279590322e-07,4.55,40
1.199496092e-06,3.94,45
2.510713881e-06,3.62,50
4.877438983e-06,3.23,55
8.951418109e-06,2.98,60
1.565082578e-05,2.79,65
2.626640803e-05,2.54,70
4.26133196e-05,2.43,75
6.734705486e-05,2.3,80
