"lf error","lf cputime","lf dtArray"
6.556391099e-07,16.88,5
2.632967583e-06,8.26,10
6.1394238e-06,5.53,15
1.083308154e-05,4.2,20
1.712444694e-05,3.37,25
2.468624897e-05,2.83,30
3.377657706e-05,2.45,35
4.380716929e-05,2.12,40
5.552692371e-05,1.92,45
6.825521715e-05,1.68,50
8.236329933e-05,1.55,55
9.759528754e-05,1.48,60
