"Taylor2ndDerivative_time","Taylor2ndDerivative_energyChange"
463815,-0.748148104
465641,-0.748184434
467467,-0.7482261344
469293,-0.7482841079
471119,-0.7483727016
472945,-0.7484830472
474771,-0.7486402549
476597,-0.7491113963
478423,-0.7508522177
480249,-0.7531509681
482075,-0.7539398721
483901,-0.7541352046
485727,-0.7542143003
487553,-0.7543193012
489379,-0.7543532502
491205,-0.7543844233
493031,-0.7544140447
494857,-0.7544432819
496683,-0.7544733087
498509,-0.754505637
500335,-0.7545429429
502161,-0.7545917728
503987,-0.7546741086
505813,-0.7548883435
507639,-0.7557167546
509465,-0.7579748875
511291,-0.7596215425
513117,-0.7600597222
514943,-0.7601842938
516769,-0.760241738
518595,-0.7602802155
520421,-0.7603114666
522247,-0.7603393814
524073,-0.7603657327
525899,-0.7603916335
527725,-0.7604180485
529551,-0.7604461353
531377,-0.7604778196
533203,-0.7605175474
535029,-0.760579481
536855,-0.7607244697
538681,-0.7612612433
540507,-0.7630565405
542333,-0.7649656633
544159,-0.7655789756
545985,-0.7657681596
547811,-0.7658757394
549637,-0.7659402934
551463,-0.7659794581
553289,-0.7660085355
555115,-0.7660342779
556941,-0.7660592705
558767,-0.7660828527
560593,-0.7661067285
562419,-0.7661323406
564245,-0.7661616525
566071,-0.7661993752
567897,-0.7662612091
569723,-0.7664159959
571549,-0.7670018425
573375,-0.7687996137
575201,-0.770492901
577027,-0.7710085625
578853,-0.7711454403
580679,-0.7712036122
582505,-0.7712492003
584331,-0.7713152809
586157,-0.7714045884
587983,-0.7714627034
589809,-0.7714939247
591635,-0.7715173529
593461,-0.7715392336
595287,-0.7715616579
597113,-0.7715861299
598939,-0.7716152068
600765,-0.7716559976
602591,-0.7717352253
604417,-0.7719792626
606243,-0.7729312752
608069,-0.7749160894
609895,-0.776033608
611721,-0.7763226821
613547,-0.7764087819
615373,-0.7764496043
617199,-0.7764776879
619025,-0.7765017056
620851,-0.7765265151
622677,-0.7765619453
624503,-0.7766277022
626329,-0.7767041553
628155,-0.7767487144
629981,-0.7767756139
631807,-0.7767991392
633633,-0.7768248385
635459,-0.7768585198
637285,-0.7769177516
639111,-0.7770802802
640937,-0.7777083146
642763,-0.7794404319
644589,-0.7808793517
646415,-0.7813043919
648241,-0.7814162185
650067,-0.781499535
651893,-0.7815483997
653719,-0.7815684575
655545,-0.7815869755
657371,-0.7816046243
659197,-0.7816228298
661023,-0.7816433225
662849,-0.7816704083
664675,-0.7817217037
666501,-0.781798606
668327,-0.781853794
670153,-0.7818875935
671979,-0.7819216283
673805,-0.7819789055
675631,-0.7821379661
677457,-0.7827511651
679283,-0.7844102514
681109,-0.7857852772
682935,-0.7861971961
684761,-0.7863065158
686587,-0.7863492727
688413,-0.7863747445
690239,-0.7863943589
692065,-0.7864114384
693891,-0.7864272318
695717,-0.7864423619
697543,-0.7864572533
699369,-0.7864723289
701195,-0.7864882662
703021,-0.7865068237
704847,-0.7865340603
706673,-0.7865867742
708499,-0.7866661319
710325,-0.786733108
712151,-0.786813191
713977,-0.7870423596
715803,-0.7879055324
717629,-0.7896370932
719455,-0.7906365059
721281,-0.7909033204
723107,-0.7909794915
724933,-0.7910126165
726759,-0.7910338363
728585,-0.791050773
730411,-0.7910657568
732237,-0.791079699
734063,-0.7910930629
735889,-0.7911061512
737715,-0.791119212
739541,-0.7911324953
741367,-0.7911463142
743193,-0.7911611764
745019,-0.7911781865
746845,-0.7912005139
748671,-0.791238835
750497,-0.7913226863
752323,-0.7915022204
754149,-0.7920158519
755975,-0.7934486154
757801,-0.7948547916
759627,-0.7953247916
761453,-0.7954456879
763279,-0.7954881281
765105,-0.7955110874
766931,-0.7955279015
768757,-0.7955422175
770583,-0.7955552814
772409,-0.7955676438
774235,-0.7955797478
776061,-0.7955925442
777887,-0.7956049559
779713,-0.795616946
781539,-0.7956292734
783365,-0.7956422903
785191,-0.7956565239
787017,-0.7956731505
788843,-0.7956955092
790669,-0.7957353662
792495,-0.795842762
794321,-0.7962443337
796147,-0.7975161413
797973,-0.7990324685
799799,-0.7996148259
801625,-0.7997642325
803451,-0.7998121765
805277,-0.7998355796
807103,-0.7998516394
808929,-0.7998649561
810755,-0.7998771374
812581,-0.7998884188
814407,-0.7998992152
816233,-0.7999098072
818059,-0.7999203589
819885,-0.7999310208
821711,-0.7999419537
823537,-0.7999533531
825363,-0.7999654989
827189,-0.7999788863
829015,-0.7999946313
830841,-0.8000159075
832667,-0.8000538319
834493,-0.8001548311
836319,-0.8005222901
838145,-0.8016578165
839971,-0.8030488766
841797,-0.8036482695
843623,-0.8038468087
845449,-0.803917192
847275,-0.8039467311
849101,-0.8039643809
850927,-0.8039780425
852753,-0.8039899772
854579,-0.8040009697
856405,-0.8040113728
858231,-0.8040213938
860057,-0.8040311859
861883,-0.8040408818
863709,-0.804050611
865535,-0.8040605154
867361,-0.8040707745
869187,-0.8040816622
871013,-0.8040937075
872839,-0.8041082044
874665,-0.8041290701
876491,-0.804170554
878317,-0.8042968621
880143,-0.8048206281
881969,-0.8060575064
883795,-0.8072325157
885621,-0.8076496379
887447,-0.8077714728
889273,-0.8078483616
891099,-0.8079291481
892925,-0.8079731797
894751,-0.807992711
896577,-0.8080055202
898403,-0.80801655
900229,-0.8080269803
902055,-0.8080371552
903881,-0.8080474416
905707,-0.8080584302
907533,-0.8080686871
909359,-0.8080786404
911185,-0.808088717
913011,-0.8080991154
914837,-0.8081101624
916663,-0.8081225993
918489,-0.8081384756
920315,-0.8081645961
922141,-0.8082275542
923967,-0.8084413547
925793,-0.8091815871
927619,-0.8105166292
929445,-0.8113125424
931271,-0.8115454598
933097,-0.8116119555
934923,-0.8116406853
936749,-0.8116720768
938575,-0.8117438025
940401,-0.8118195951
942227,-0.8118487018
944053,-0.8118610159
945879,-0.811870039
947705,-0.8118784061
949531,-0.8118866727
951357,-0.8118950278
953183,-0.8119036296
955009,-0.8119125165
956835,-0.8119216992
958661,-0.8119313521
960487,-0.8119417028
962313,-0.8119532178
964139,-0.8119671805
965965,-0.8119877515
967791,-0.8120305068
969617,-0.8121607869
971443,-0.8126314087
973269,-0.813796016
975095,-0.8148478156
976921,-0.815221869
978747,-0.8153232955
980573,-0.8153570989
982399,-0.8153736914
984225,-0.8153859409
986051,-0.8154020985
987877,-0.8154485804
989703,-0.8155409837
991529,-0.8155893354
993355,-0.8156040735
995181,-0.8156122632
997007,-0.8156193995
998833,-0.8156263976
1000659,-0.8156334637
1002485,-0.8156406892
1004311,-0.8156482569
1006137,-0.8156561802
1007963,-0.8156643976
1009789,-0.8156735016
1011615,-0.8156847036
1013441,-0.8157016049
1015267,-0.815737253
1017093,-0.8158449487
1018919,-0.8162328413
1020745,-0.8172666041
1022571,-0.818350768
1024397,-0.8187812594
1026223,-0.8189005074
1028049,-0.8189393015
1029875,-0.818957954
1031701,-0.8189709786
1033527,-0.8189822088
1035353,-0.8189928753
1037179,-0.819004225
1039005,-0.8190218154
1040831,-0.8190686652
1042657,-0.8191486701
1044483,-0.8191908509
1046309,-0.8192054901
1048135,-0.8192143275
1049961,-0.8192225768
1051787,-0.8192298599
1053613,-0.8192369235
1055439,-0.8192441442
1057265,-0.8192517244
1059091,-0.8192600565
1060917,-0.8192701836
1062743,-0.8192853727
1064569,-0.8193174506
1066395,-0.8194143301
1068221,-0.8197633608
1070047,-0.8207229153
1071873,-0.8218031346
1073699,-0.8222575377
1075525,-0.8223836121
1077351,-0.822422273
1079177,-0.8224389886
1081003,-0.8224496197
1082829,-0.8224583954
1084655,-0.8224666136
1086481,-0.8224747455
1088307,-0.8224830136
1090133,-0.8224916613
1091959,-0.8225016176
1093785,-0.8225179426
1095611,-0.8225615759
1097437,-0.8226378995
1099263,-0.8226806428
1101089,-0.8226959741
1102915,-0.8227048652
1104741,-0.8227124684
1106567,-0.8227198415
1108393,-0.8227273666
1110219,-0.8227355078
1112045,-0.822745426
1113871,-0.8227608172
1115697,-0.8227952479
1117523,-0.8229036882
1119349,-0.8232919514
1121175,-0.8242787032
1123001,-0.8252702279
1124827,-0.8256615605
1126653,-0.8257699954
1128479,-0.8258041968
1130305,-0.8258186663
1132131,-0.8258275805
1133957,-0.8258347738
1135783,-0.8258413713
1137609,-0.8258477683
1139435,-0.8258541426
1141261,-0.8258606035
1143087,-0.8258672414
1144913,-0.8258741594
1146739,-0.8258815782
1148565,-0.8258904017
1150391,-0.8259053453
1152217,-0.8259458588
1154043,-0.8260194723
1155869,-0.8260630553
1157695,-0.8260790245
1159521,-0.826088343
1161347,-0.8260965291
1163173,-0.8261050797
1164999,-0.826115689
1166825,-0.8261334595
1168651,-0.8261775754
1170477,-0.8263256944
1172303,-0.8268360367
1174129,-0.827894918
1175955,-0.8287085618
1177781,-0.8289871642
1179607,-0.8290637687
1181433,-0.8290885666
1183259,-0.8290998838
1185085,-0.8291072914
1186911,-0.8291134136
