"Hermite4thOrder_time","Hermite4thOrder_energyChange"
0,0
182640,1.851669235e-07
365200,5.991163688e-08
547760,5.31732635e-07
730320,1.369838811e-06
912880,2.614175157e-06
1095440,3.532249522e-06
1278000,3.305673252e-06
1460560,2.755245362e-06
1643120,2.588772891e-06
1825680,2.7613815e-06
2008240,3.219704057e-06
2190800,4.013114838e-06
2373360,5.259571138e-06
2555920,6.422963273e-06
2738480,6.436535832e-06
2921040,5.733424571e-06
3103600,5.45132894e-06
3286160,5.596565761e-06
3468720,5.994714639e-06
3651280,6.701493855e-06
3833840,7.922452339e-06
4016400,9.310561373e-06
4198960,9.497682124e-06
4381520,8.836075802e-06
4564080,8.427629953e-06
4746640,8.485499897e-06
4929200,8.845438281e-06
5111760,9.507865311e-06
5294320,1.059567823e-05
5476880,1.203803747e-05
5659440,1.259930395e-05
5842000,1.192147125e-05
6024560,1.142222336e-05
6207120,1.142696138e-05
6389680,1.173541208e-05
6572240,1.230886957e-05
6754800,1.33256029e-05
6937360,1.473761747e-05
7119920,1.543487677e-05
7302480,1.496957288e-05
7485040,1.442440748e-05
7667600,1.4340043e-05
7850160,1.460234789e-05
8032720,1.515023744e-05
8215280,1.602850906e-05
8397840,1.730835647e-05
8580400,1.819175216e-05
8762960,1.785697165e-05
8945520,1.733304449e-05
9128080,1.722631425e-05
9310640,1.744401759e-05
9493200,1.791687233e-05
9675760,1.874470967e-05
9858320,1.988347949e-05
10040880,2.070773039e-05
10223440,2.057289955e-05
10406000,2.014327076e-05
10588560,1.999604073e-05
10771120,2.018770152e-05
10953680,2.065452306e-05
11136240,2.138526948e-05
11318800,2.238422852e-05
11501360,2.312170543e-05
11683920,2.308400609e-05
11866480,2.272172291e-05
12049040,2.267108379e-05
12231600,2.285490006e-05
12414160,2.329670523e-05
12596720,2.401958595e-05
12779280,2.488684357e-05
12961840,2.543226059e-05
13144400,2.539994983e-05
13326960,2.522342706e-05
13509520,2.518193621e-05
13692080,2.54547732e-05
13874640,2.592819373e-05
14057200,2.663282017e-05
14239760,2.737431499e-05
14422320,2.775862504e-05
14604880,2.768430934e-05
14787440,2.755241282e-05
14970000,2.766496238e-05
15152560,2.796416813e-05
15335120,2.851822961e-05
15517680,2.926109679e-05
15700240,2.991478274e-05
15882800,3.007889535e-05
16065360,2.992487632e-05
16247920,2.98781514e-05
16430480,3.001051082e-05
16613040,3.044219833e-05
16795600,3.109571146e-05
16978160,3.19315461e-05
17160720,3.251873887e-05
17343280,3.250970293e-05
17525840,3.225567561e-05
17708400,3.220950518e-05
17890960,3.245444848e-05
18073520,3.290782154e-05
18256080,3.371384998e-05
18438640,3.468990873e-05
18621200,3.525361243e-05
18803760,3.504273444e-05
18986320,3.472313154e-05
19168880,3.46874243e-05
19351440,3.494208765e-05
19534000,3.548833255e-05
19716560,3.636850724e-05
19899120,3.750909187e-05
20081680,3.808074112e-05
20264240,3.773643139e-05
20446800,3.730641038e-05
20629360,3.727872796e-05
20811920,3.756266183e-05
20994480,3.810832131e-05
21177040,3.906964772e-05
21359600,4.037787284e-05
21542160,4.0998476e-05
21724720,4.052016541e-05
21907280,4.004889139e-05
22089840,3.999319544e-05
22272400,4.028067709e-05
22454960,4.086425446e-05
22637520,4.185827649e-05
22820080,4.325945456e-05
23002640,4.399740191e-05
23185200,4.342553398e-05
23367760,4.286312502e-05
23550320,4.28297255e-05
23732880,4.31201674e-05
23915440,4.369259388e-05
24098000,4.471869999e-05
24280560,4.620513375e-05
24463120,4.694880385e-05
24645680,4.634332222e-05
24828240,4.578471503e-05
25010800,4.571528424e-05
25193360,4.601272915e-05
25375920,4.659743354e-05
25558480,4.761740902e-05
25741040,4.907179586e-05
25923600,4.988985794e-05
26106160,4.926834e-05
26288720,4.86815306e-05
26471280,4.864826158e-05
26653840,4.893086434e-05
26836400,4.950440514e-05
27018960,5.051979243e-05
27201520,5.196849901e-05
27384080,5.266741703e-05
27566640,5.214369861e-05
27749200,5.159284648e-05
27931760,5.153458035e-05
28114320,5.183277082e-05
28296880,5.24145787e-05
28479440,5.339897201e-05
28662000,5.47338527e-05
28844560,5.539304069e-05
29027120,5.48685518e-05
29209680,5.438835123e-05
29392240,5.438616368e-05
29574800,5.467065753e-05
29757360,5.525732902e-05
29939920,5.623407593e-05
30122480,5.743646844e-05
30305040,5.78679648e-05
30487600,5.749054296e-05
30670160,5.711272178e-05
30852720,5.712211876e-05
31035280,5.746291437e-05
31217840,5.805696474e-05
31400400,5.898645004e-05
31582960,5.997623126e-05
31765520,6.02961216e-05
31948080,5.992553347e-05
32130640,5.972212348e-05
32313200,5.981631531e-05
32495760,6.016409964e-05
32678320,6.080862929e-05
32860880,6.168868594e-05
33043440,6.242658231e-05
33226000,6.252139846e-05
33408560,6.229981369e-05
33591120,6.219920913e-05
33773680,6.236999589e-05
33956240,6.283441336e-05
34138800,6.349213728e-05
34321360,6.429659189e-05
34503920,6.476257566e-05
34686480,6.470947719e-05
34869040,6.453291481e-05
35051600,6.461081852e-05
35234160,6.491724014e-05
35416720,6.543819335e-05
35599280,6.624615783e-05
35781840,6.688032193e-05
35964400,6.703722525e-05
36146960,6.687962566e-05
36329520,6.682232758e-05
36512080,6.699841045e-05
36694640,6.74420838e-05
36877200,6.817025175e-05
37059760,6.897011628e-05
37242320,6.947661874e-05
37424880,6.936325362e-05
37607440,6.912942669e-05
37790000,6.915901643e-05
37972560,6.945518839e-05
38155120,7.002822671e-05
38337680,7.087317225e-05
38520240,7.184991254e-05
38702800,7.2044648e-05
38885360,7.170507415e-05
39067920,7.149960555e-05
39250480,7.159031314e-05
39433040,7.196821145e-05
39615600,7.268177934e-05
39798160,7.37675656e-05
39980720,7.467401397e-05
40163280,7.470951093e-05
40345840,7.418534319e-05
40528400,7.399077649e-05
40710960,7.417624339e-05
40893520,7.463650339e-05
41076080,7.545744403e-05
41258640,7.672300162e-05
41441200,7.76759506e-05
41623760,7.734508431e-05
41806320,7.678341415e-05
41988880,7.666147905e-05
42171440,7.689153195e-05
42354000,7.742618255e-05
42536560,7.83857362e-05
42719120,7.979179104e-05
42901680,8.057478866e-05
43084240,8.008502195e-05
