"Taylor2ndDerivative_time","Taylor2ndDerivative_energyChange"
46552880,0.9721292019
46735440,0.9721334303
46918000,0.9721349712
47100560,0.9721514129
47283120,0.9724724335
47465680,0.9725098172
47648240,0.9725244105
47830800,0.9725288381
48013360,0.9725298374
48195920,0.9725364169
48378480,0.9725638569
48561040,0.9729179946
48743600,0.9729134346
48926160,0.9729146615
49108720,0.9729233135
49291280,0.9729287203
49473840,0.9729772889
49656400,0.9729827539
49838960,0.9729829119
50021520,0.9733045085
50204080,0.9733013053
50386640,0.9733304309
50569200,0.9733634738
50751760,0.9733644812
50934320,0.9733653825
51116880,0.9733731307
51299440,0.9733685036
51482000,0.9737285621
51664560,0.9737360788
51847120,0.9737444826
52029680,0.9737457093
52212240,0.9737465391
52394800,0.9737534643
52577360,0.9737988382
52759920,0.9737986473
52942480,0.9741151353
53125040,0.9741122841
53307600,0.9741204015
53490160,0.9741470287
53672720,0.9741654904
53855280,0.9741671805
54037840,0.9741817811
54220400,0.974180107
54402960,0.9744907571
54585520,0.9745175104
54768080,0.9745285235
54950640,0.9745294059
55133200,0.9745353511
55315760,0.9745378612
55498320,0.9745456107
55680880,0.9745464018
55863440,0.9748932718
56046000,0.9748950389
56228560,0.9749020437
56411120,0.9749100611
56593680,0.9749107089
56776240,0.9749113606
56958800,0.9749268235
57141360,0.9749556828
57323920,0.9749612622
57506480,0.9752662617
57689040,0.9752716322
57871600,0.9752766276
58054160,0.9752772871
58236720,0.9753030077
58419280,0.9753160161
58601840,0.975323344
58784400,0.975327684
58966960,0.9756350836
59149520,0.9756314291
59332080,0.9756387925
59514640,0.975671033
59697200,0.9756757523
59879760,0.9756766883
60062320,0.9756899519
60244880,0.975691395
60427440,0.9756880578
60610000,0.9759969354
60792560,0.9760230472
60975120,0.9760296214
61157680,0.9760310612
61340240,0.9760368868
61522800,0.976037877
61705360,0.9760452999
61887920,0.9760453172
62070480,0.9760422547
62253040,0.9763849419
62435600,0.9763896107
62618160,0.9763954154
62800720,0.9763957827
62983280,0.9763961923
63165840,0.9763981055
63348400,0.9764044717
63530960,0.976418217
63713520,0.9764329094
63896080,0.9767446389
64078640,0.9767463808
64261200,0.9767470475
64443760,0.9767473585
64626320,0.9767477484
64808880,0.9767498681
64991440,0.9767872105
65174000,0.9767945751
65356560,0.976792699
65539120,0.9770838964
65721680,0.9770923452
65904240,0.977093007
66086800,0.9770932259
66269360,0.9770972134
66451920,0.9771326406
66634480,0.977139849
66817040,0.9771403133
66999600,0.9771400958
67182160,0.9771342961
67364720,0.9774340563
67547280,0.9774353332
67729840,0.9774466505
67912400,0.9774722767
68094960,0.9774727849
68277520,0.9774789549
68460080,0.9774806916
68642640,0.9774809142
68825200,0.9774810103
69007760,0.9774788912
69190320,0.9777928058
69372880,0.9778097711
69555440,0.9778096686
69738000,0.9778098666
69920560,0.9778103048
70103120,0.9778177569
70285680,0.9778233738
70468240,0.9778240028
70650800,0.9778348351
70833360,0.9778499371
71015920,0.9781464524
71198480,0.978140846
71381040,0.9781405224
71563600,0.9781445929
71746160,0.9781464197
71928720,0.9781466655
72111280,0.9781676432
72293840,0.9781864672
72476400,0.9781864072
72658960,0.9781845583
72841520,0.9784402347
73024080,0.9784669936
73206640,0.9784677079
73389200,0.9784734282
73571760,0.97848798
73754320,0.9785054336
73936880,0.9785056637
74119440,0.9785059736
74302000,0.9785106667
74484560,0.9785181336
74667120,0.9785130712
74849680,0.9787965123
75032240,0.9787997603
75214800,0.9788204291
75397360,0.978820564
75579920,0.9788268964
75762480,0.9788332391
75945040,0.9788334878
76127600,0.9788336572
76310160,0.9788337018
76492720,0.9788350533
76675280,0.97885658
76857840,0.9791468501
77040400,0.9791461745
77222960,0.9791469025
77405520,0.9791469928
77588080,0.979147159
77770640,0.9791473995
77953200,0.9791549695
78135760,0.97917452
78318320,0.9791855549
78500880,0.9791896517
78683440,0.9791859853
78866000,0.9794631247
79048560,0.9794627738
79231120,0.979462455
79413680,0.9794624444
79596240,0.9794637603
79778800,0.9794931106
79961360,0.9794976609
80143920,0.9795043241
80326480,0.9795058659
80509040,0.9795058254
80691600,0.9795048794
80874160,0.9795042922
81056720,0.979769957
81239280,0.9797812347
81421840,0.9798087101
81604400,0.9798088312
81786960,0.979808963
81969520,0.9798091263
82152080,0.9798092896
82334640,0.9798095143
82517200,0.9798171335
82699760,0.9798198162
82882320,0.9798388627
83064880,0.9799487638
83247440,0.9801071493
83430000,0.9801054767
83612560,0.9801106307
83795120,0.9801129379
83977680,0.9801131192
