"Taylor3rdDerivative_time","Taylor3rdDerivative_energyChange"
46552880,0.9344595395
46735440,0.9344651859
46918000,0.9344735356
47100560,0.9344769193
47283120,0.9344831376
47465680,0.9344892969
47648240,0.9344962291
47830800,0.9344998986
48013360,0.9345069381
48195920,0.9345239116
48378480,0.9345434694
48561040,0.9345325056
48743600,0.9345389555
48926160,0.9345390893
49108720,0.9345418579
49291280,0.9345478457
49473840,0.9345561219
49656400,0.9345600366
49838960,0.9345672567
50021520,0.934577838
50204080,0.9345813287
50386640,0.9345865977
50569200,0.9345955752
50751760,0.9345999317
50934320,0.9346068744
51116880,0.9346152111
51299440,0.9346257937
51482000,0.9346326497
51664560,0.9346499213
51847120,0.9346836575
52029680,0.9346557377
52212240,0.9346585117
52394800,0.9346687253
52577360,0.934675446
52759920,0.934684875
52942480,0.9346933478
53125040,0.9347016789
53307600,0.9347079562
53490160,0.9347191211
53672720,0.9347720479
53855280,0.9347405394
54037840,0.9347450461
54220400,0.9347578684
54402960,0.9347651181
54585520,0.9347738077
54768080,0.934784871
54950640,0.9347961989
55133200,0.9348054645
55315760,0.9348217891
55498320,0.9348365989
55680880,0.9348404935
55863440,0.9348511948
56046000,0.9348630514
56228560,0.9348729065
56411120,0.934886017
56593680,0.9348973623
56776240,0.9349078859
56958800,0.9349209654
57141360,0.9349349846
57323920,0.9349498913
57506480,0.9349559633
57689040,0.9349694883
57871600,0.9349840658
58054160,0.9349945752
58236720,0.9350089816
58419280,0.9350267414
58601840,0.9350721091
58784400,0.9350516885
58966960,0.935067038
59149520,0.93511634
59332080,0.9350952685
59514640,0.9351119999
59697200,0.9351263883
59879760,0.9351433593
60062320,0.9351624068
60244880,0.9351744621
60427440,0.935191033
60610000,0.9352263269
60792560,0.9352269993
60975120,0.9352450175
61157680,0.9352613177
61340240,0.9352833662
61522800,0.9353208422
61705360,0.9353217231
61887920,0.9353443246
62070480,0.935362112
62253040,0.9353848462
62435600,0.9354052568
62618160,0.93542871
62800720,0.9354491667
