"Leapfrog_time","Leapfrog_energyChange"
50187786,-3.024657006e-06
50370287,-2.497058224e-06
50552788,-7.114380701e-06
50735289,-7.163694823e-06
50917790,-1.065709906e-06
51100291,-6.734502162e-06
51282792,-3.106648437e-06
51465293,-6.398490202e-06
51647794,-1.262474592e-05
51830295,-8.987963584e-06
52012796,-3.356234115e-06
52195297,-1.781355361e-06
52377798,-5.817492577e-06
52560299,-3.699398768e-06
52742800,-1.28133287e-06
52925301,-5.78844499e-06
53107802,-5.036798862e-07
53290303,-1.021745279e-05
53472804,-1.36383155e-05
53655305,-9.073907638e-06
53837806,-1.295904773e-06
54020307,-1.002051383e-06
54202808,-2.37049901e-06
54385309,-1.8683612e-06
54567810,-2.318929547e-06
54750311,-2.7930522e-06
54932812,-3.129080351e-06
55115313,-1.256919434e-05
55297814,-1.323235856e-05
55480315,-7.454559355e-06
55662816,-1.122380962e-06
55845317,-1.123264599e-06
56027818,-1.222554073e-06
56210319,-1.99552458e-06
56392820,-4.777975453e-07
56575321,-5.323157529e-07
56757822,-6.592181633e-06
56940323,-1.27873945e-05
57122824,-1.280090808e-05
57305325,-3.681021739e-06
57487826,-3.728543672e-06
57670327,-3.593288033e-06
57852828,-2.059508528e-06
58035329,-3.806673373e-06
58217830,-2.413631166e-06
58400331,-1.137903025e-06
58582832,-7.915089087e-06
58765333,-1.278568751e-05
58947834,-1.014449419e-05
59130335,-7.676350712e-07
59312836,-6.454107925e-06
59495337,-1.889298646e-06
59677838,-4.717032107e-06
59860339,-7.482831118e-06
60042840,-2.928772084e-06
60225341,-2.688193422e-06
60407842,-7.654478184e-06
60590343,-1.158286743e-05
60772844,-6.432057888e-06
60955345,-2.539848047e-06
61137846,-6.476672411e-06
61320347,-1.206115436e-06
61502848,-8.45028845e-06
61685349,-8.50744039e-06
61867850,-3.303964151e-06
62050351,-1.549638205e-06
62232852,-7.160787676e-06
62415353,-7.940744919e-06
62597854,-3.451314462e-06
62780355,-5.016417991e-06
62962856,-3.518331314e-06
63145357,-4.632282078e-06
63327858,-1.126002175e-05
63510359,-8.620203902e-06
63692860,-2.451732678e-06
63875361,-7.172613096e-07
64057862,-5.420960225e-06
64240363,-6.206734286e-06
64422864,-1.813380896e-06
64605365,-2.756582278e-06
64787866,-7.210304394e-08
64970367,-9.105803384e-06
65152868,-1.182581593e-05
65335369,-8.244926609e-06
65517870,-8.097792048e-07
65700371,-1.059319332e-06
65882872,-2.288681322e-06
66065373,-5.14406022e-06
66247874,-1.912686811e-06
66430375,-7.405288186e-07
66612876,-3.034428239e-06
66795377,-1.073861657e-05
66977878,-1.172435519e-05
67160379,-5.11903131e-06
67342880,-3.429866228e-06
67525381,-3.87045474e-06
67707882,-2.669083623e-06
67890383,-5.837411249e-06
68072884,-4.802234389e-06
68255385,-8.023048075e-07
68437886,-6.252978089e-06
68620387,-1.117490382e-05
68802888,-1.081097558e-05
68985389,-1.15728811e-06
69167890,-6.538665073e-06
69350391,-4.434741595e-06
69532892,-4.62362573e-06
69715393,-8.70191535e-06
69897894,-6.001701537e-06
70080395,-2.786054453e-06
70262896,-6.854369595e-06
70445397,-1.128430085e-05
70627898,-6.984164758e-06
70810399,-2.638333951e-06
70992900,-9.651595435e-06
71175401,-1.7064e-06
71357902,-7.059563536e-06
71540403,-1.101524117e-05
71722904,-5.916852389e-06
71905405,-3.36670408e-06
72087906,-6.822881019e-06
72270407,-9.465058932e-06
72452908,-3.806273112e-06
72635409,-5.864292077e-06
72817910,-7.753222151e-06
73000411,-1.925264362e-06
73182912,-1.102974612e-05
73365413,-1.124403674e-05
73547914,-6.084550706e-06
73730415,-1.984959305e-06
73912916,-6.195537453e-06
74095417,-5.79572593e-06
74277918,-9.130010231e-07
74460419,-6.845442e-06
74642920,-4.48485355e-06
74825421,-5.549469363e-06
75007922,-1.28759388e-05
75190423,-1.126302867e-05
75372924,-4.240557311e-06
75555425,-1.348858649e-06
75737926,-3.851370979e-06
