"LeapfrogAdaptive_time","LeapfrogAdaptive_energyChange"
0,0
18880,-2.150849542e-06
37440,-1.012815224e-05
56000,-4.868626193e-06
74560,-3.227002875e-06
93120,-2.491372935e-06
111680,-9.948639046e-06
130240,-6.461545046e-07
148800,-5.226794771e-06
167360,-8.269862069e-06
185920,-7.948118261e-06
204480,-6.554061019e-06
223040,-1.983280375e-06
241600,-1.270291758e-05
260160,-6.956102906e-07
278720,-3.388630319e-06
297280,-8.607513951e-06
315840,-7.14979452e-06
334400,-3.892842856e-06
352960,-1.314631751e-06
371520,-1.069430352e-05
390080,-2.548894329e-06
408640,-7.390976653e-06
427200,-7.224181726e-06
445760,-1.15676801e-05
464320,-5.920464931e-06
482880,-7.047011865e-07
501440,-1.363714516e-05
520000,-1.903127339e-06
538560,-5.258374427e-06
557120,-4.820139381e-06
575680,-1.05076097e-05
594240,-2.262840913e-06
612800,-5.309405049e-06
631360,-1.192284565e-05
649920,-6.672216193e-06
668480,-8.088201164e-06
687040,-4.393267081e-06
705600,-1.38296735e-05
724160,-2.899476736e-06
742720,-3.699919856e-06
761280,-1.058175518e-05
779840,-6.436531215e-06
798400,-5.42511381e-06
816960,-5.075270355e-07
835520,-1.283343702e-05
854080,-9.297998917e-07
872640,-7.382599753e-06
891200,-9.526704162e-06
909760,-1.059209898e-05
928320,-6.41590446e-06
946880,-3.009880741e-07
965440,-1.353660891e-05
984000,-5.289342524e-07
1002560,-4.978036337e-06
1021120,-5.951147492e-06
1039680,-9.478948436e-06
1058240,-3.012461348e-06
1076800,-3.702845502e-06
1095360,-1.298621331e-05
1113920,-4.294380768e-06
1132480,-7.644727853e-06
1151040,-6.439482765e-06
1169600,-1.167777547e-05
1188160,-4.337396332e-06
1206720,-1.461775361e-06
1225280,-1.102318655e-05
1243840,-4.003915253e-06
1262400,-4.710875837e-06
1280960,-2.011024243e-06
1299520,-1.176094576e-05
1318080,-1.787565094e-06
1336640,-5.504315697e-06
1355200,-1.182794223e-05
1373760,-6.555407015e-06
1392320,-6.786138623e-06
1410880,-4.206009261e-06
1429440,-1.289182871e-05
1448000,-2.147735959e-06
1466560,-3.521908957e-06
1485120,-8.304114805e-06
1503680,-6.784296766e-06
1522240,-4.971611811e-06
1540800,-9.882519391e-07
1559360,-1.378201343e-05
1577920,-1.146549152e-06
1596480,-6.611072781e-06
1615040,-1.034786357e-05
1633600,-9.660483313e-06
1652160,-6.150914078e-06
1670720,-8.248515719e-07
1689280,-1.195073702e-05
1707840,-8.752510547e-07
1726400,-5.293645459e-06
1744960,-4.806890893e-06
1763520,-1.12332803e-05
1782080,-3.583545868e-06
1800640,-3.682904924e-06
1819200,-1.388736093e-05
1837760,-4.090773685e-06
1856320,-6.823331654e-06
1874880,-6.522459411e-06
1893440,-1.115819275e-05
1912000,-3.646086783e-06
1930560,-2.225986444e-06
1949120,-9.690393647e-06
1967680,-4.891383546e-06
1986240,-5.062259758e-06
2004800,-1.860693169e-06
2023360,-1.323142441e-05
2041920,-9.697533198e-07
2060480,-4.730034999e-06
2079040,-1.18436561e-05
2097600,-6.277200911e-06
2116160,-6.038149251e-06
2134720,-3.392740613e-06
2153280,-1.024693469e-05
2171840,-1.161057093e-06
2190400,-3.346671655e-06
2208960,-7.120357479e-06
2227520,-8.323167557e-06
2246080,-4.449605946e-06
2264640,-1.154492078e-07
2283200,-1.37119844e-05
2301760,-2.034950444e-07
2320320,-5.372105938e-06
2338880,-9.78869763e-06
2357440,-7.454465652e-06
2376000,-5.123910112e-06
2394560,-1.113862663e-06
2413120,-1.051950405e-05
2431680,-1.370771209e-06
2450240,-4.984679206e-06
2468800,-5.917418927e-06
2487360,-1.074940053e-05
2505920,-4.491968574e-06
2524480,-1.593966203e-06
2543040,-1.439715265e-05
2561600,-2.249652283e-06
2580160,-6.233521639e-06
2598720,-7.799118623e-06
2617280,-9.491649365e-06
2635840,-4.232936305e-06
2654400,-2.146306167e-06
2672960,-1.016114818e-05
2691520,-5.390117818e-06
2710080,-6.122677435e-06
2728640,-3.717704416e-06
2747200,-1.446409469e-05
2765760,-3.172145949e-06
2784320,-4.256556082e-06
2802880,-1.313991373e-05
2821440,-4.470062418e-06
2840000,-6.622140367e-06
2858560,-3.095448319e-06
2877120,-1.095504493e-05
2895680,-6.20404123e-07
2914240,-4.950576996e-06
2932800,-9.254384162e-06
2951360,-9.663764395e-06
2969920,-5.999988062e-06
2988480,-4.807765871e-07
3007040,-1.464320987e-05
3025600,-7.224527974e-07
3044160,-5.918289662e-06
3062720,-9.430292427e-06
3081280,-7.252205831e-06
3099840,-5.044477868e-06
3118400,-4.282385136e-07
3136960,-1.137873582e-05
3155520,-2.83403009e-06
3174080,-5.793909022e-06
3192640,-6.533422181e-06
3211200,-1.222848388e-05
3229760,-5.219110657e-06
3248320,-2.166507737e-06
3266880,-1.415834504e-05
3285440,-8.749497511e-07
3304000,-5.968949802e-06
3322560,-6.235919922e-06
3341120,-9.202358768e-06
3359680,-2.580761997e-06
3378240,-2.658295284e-06
3396800,-1.170373889e-05
3415360,-5.984261477e-06
3433920,-7.003423002e-06
3452480,-4.401736364e-06
