"Leapfrog_time","Leapfrog_energyChange"
0,0
18271,-4.077329978e-06
36531,-1.043645568e-05
54791,-3.782244232e-06
73051,-5.084738103e-06
91311,-2.968548619e-06
109571,-1.20382804e-05
127831,-8.33113833e-06
146091,-6.767832884e-06
164351,-1.20107692e-06
182611,-1.214966157e-05
200871,-1.055254783e-05
219131,-2.088249015e-06
237391,-5.523257682e-06
255651,-8.663912187e-06
273911,-1.07182127e-05
292171,-1.996711274e-06
310431,-2.331105882e-06
328691,-3.289588897e-06
346951,-8.723429036e-06
365211,-2.592138452e-06
383471,-3.139534263e-06
401731,-2.614347481e-06
419991,-3.539924368e-06
438251,-1.747362857e-06
456511,-6.264185831e-06
474771,-8.135775913e-06
493031,-1.093598039e-06
511291,-1.945481262e-06
529551,-6.563409388e-06
547811,-1.246978192e-05
566071,-1.831693804e-06
584331,-7.149623291e-06
602591,-4.939398283e-06
620851,-1.305758212e-05
639111,-7.219249875e-06
657371,-7.637017668e-06
675631,-1.549211542e-07
693891,-1.203283694e-05
712151,-9.372166174e-06
730411,-2.178782033e-06
748671,-3.030996429e-06
766931,-8.418784238e-06
785191,-8.117815794e-06
803451,-1.725191071e-06
821711,-1.126105551e-06
839971,-3.248347383e-06
858231,-5.215751043e-06
876491,-2.392800693e-06
894751,-7.113420164e-06
913011,-3.23217621e-06
931271,-4.181230044e-07
949531,-6.454634144e-07
967791,-9.652691794e-06
986051,-9.077439074e-06
1004311,-3.365959914e-06
1022571,-3.279792151e-06
1040831,-8.655893987e-06
1059091,-1.312083268e-05
1077351,-2.191089674e-07
1095611,-7.995422047e-06
1113871,-6.264499278e-06
1132131,-1.364990515e-05
1150391,-5.428583751e-06
1168651,-7.037044845e-06
1186911,-1.649919881e-06
1205171,-1.099261046e-05
1223431,-6.969983531e-06
1241691,-6.628575672e-07
1259951,-1.270131283e-07
1278211,-6.470695125e-06
1296471,-5.110015422e-06
1314731,-3.399320298e-06
1332991,-4.412469399e-06
1351251,-2.145546033e-06
1369511,-1.395082641e-06
1387771,-3.756485946e-06
1406031,-1.001791255e-05
1424291,-3.772049526e-06
1442551,-4.147380209e-06
1460811,-7.198605715e-07
1479071,-1.228880393e-05
1497331,-9.330903839e-06
1515591,-5.612518382e-06
1533851,-3.617917403e-06
1552111,-1.08588277e-05
1570371,-1.273619804e-05
1588631,-1.527875237e-06
1606891,-6.769700191e-06
1625151,-6.875909507e-06
1643411,-1.242750093e-05
1661671,-3.461664964e-06
1679931,-3.641148751e-06
1698191,-2.185035019e-06
1716451,-8.699437074e-06
1734711,-5.010234048e-06
1752971,-1.945665505e-06
1771231,-2.284512805e-06
1789491,-3.71148583e-06
1807751,-2.750625014e-06
1826011,-5.672225788e-06
1844271,-7.482345128e-06
1862531,-5.493511057e-07
1880791,-2.594817348e-06
1899051,-5.861344793e-06
1917311,-1.239757946e-05
1935571,-3.696941252e-06
1953831,-7.337137491e-06
1972091,-2.329550241e-06
1990351,-1.391395899e-05
2008611,-8.130196656e-06
2026871,-6.57607683e-06
2045131,-2.723971798e-06
2063391,-1.177199971e-05
2081651,-1.116674591e-05
2099911,-1.687936001e-06
2118171,-4.536865973e-06
2136431,-6.257092845e-06
2154691,-1.044210244e-05
2172951,-2.242892565e-06
2191211,-2.84188386e-07
2209471,-2.316193154e-06
2227731,-5.831892354e-06
2245991,-3.320357861e-06
2264251,-5.276563395e-06
2282511,-4.47637514e-06
2300771,-3.690359839e-07
2319031,-9.419032938e-07
2337291,-8.695613471e-06
2355551,-9.7234612e-06
2373811,-1.852831063e-06
2392071,-4.990988044e-06
2410331,-8.360757854e-06
2428591,-1.310976543e-05
2446851,-3.018965556e-06
2465111,-8.946950806e-06
2483371,-4.099670905e-06
2501631,-1.423029928e-05
2519891,-6.804716542e-06
2538151,-6.012986497e-06
2556411,-1.621715436e-06
2574671,-1.157504607e-05
2592931,-8.65965066e-06
2611191,-6.331154249e-07
2629451,-1.331402265e-06
2647711,-5.148900379e-06
2665971,-7.27267714e-06
2684231,-2.27171676e-06
2702491,-4.593337229e-06
2720751,-1.413486678e-06
2739011,-2.145437473e-06
2757271,-3.28876455e-06
2775531,-8.89883829e-06
2793791,-5.379552561e-06
2812051,-4.4310852e-06
2830311,-4.432464296e-07
2848571,-1.088634307e-05
2866831,-1.088551075e-05
2885091,-3.713151748e-06
2903351,-5.865692934e-06
2921611,-1.018290805e-05
2939871,-1.304282026e-05
2958131,-1.72031267e-06
2976391,-8.811451803e-06
2994651,-5.603053254e-06
3012911,-1.334288724e-05
3031171,-5.03751098e-06
3049431,-3.570355018e-06
3067691,-4.418446048e-07
3085951,-9.846733015e-06
3104211,-5.714395463e-06
3122471,-2.062446634e-06
3140731,-1.649433985e-06
3158991,-3.238001948e-06
3177251,-3.986564811e-06
3195511,-3.926600803e-06
3213771,-8.084794719e-06
3232031,-3.262180514e-07
3250291,-1.648610935e-06
3268551,-4.142294304e-06
3286811,-1.193872335e-05
3305071,-5.705258326e-06
3323331,-7.966743931e-06
3341591,-1.016609187e-06
3359851,-1.253916536e-05
3378111,-1.077572825e-05
3396371,-5.548588321e-06
3414631,-4.899568329e-06
3432891,-1.107507873e-05
3451151,-1.186458457e-05
3469411,-7.276502489e-07
3487671,-6.500100999e-06
3505931,-5.771189564e-06
3524191,-1.105288898e-05
3542451,-3.80278978e-06
3560711,-1.088513673e-07
3578971,-7.785982615e-07
3597231,-7.100360445e-06
3615491,-3.230443599e-06
3633751,-5.299394852e-06
3652011,-4.195712419e-06
3670271,-4.504438828e-07
3688531,-9.492420932e-07
3706791,-6.87390141e-06
3725051,-1.074882963e-05
3743311,-1.148589009e-06
3761571,-4.834178565e-06
3779831,-5.829281499e-06
3798091,-1.376319869e-05
3816351,-4.987107862e-06
3834611,-9.410749686e-06
3852871,-2.17739385e-06
3871131,-1.306622951e-05
3889391,-9.534508417e-06
3907651,-5.884761678e-06
3925911,-3.403305018e-06
3944171,-1.072124871e-05
3962431,-1.017318458e-05
3980691,-5.341001661e-07
3998951,-3.229614766e-06
4017211,-5.16302413e-06
4035471,-7.684548253e-06
4053731,-3.205412803e-06
4071991,-3.844520688e-06
4090251,-1.810927059e-06
4108511,-3.069124157e-06
4126771,-2.200566493e-06
4145031,-8.813487287e-06
4163291,-5.696514146e-06
4181551,-2.648644165e-06
4199811,-9.143310306e-07
4218071,-9.824706862e-06
4236331,-1.196134461e-05
4254591,-2.218615187e-06
4272851,-6.672612145e-06
4291111,-7.447373182e-06
4309371,-1.443895516e-05
4327631,-3.584305557e-06
4345891,-9.074364487e-06
4364151,-3.24493642e-06
4382411,-1.298105539e-05
4400671,-7.407539329e-06
4418931,-4.485347927e-06
4437191,-1.253897884e-06
4455451,-8.959908981e-06
4473711,-7.49920572e-06
4491971,-1.664215963e-06
4510231,-9.187187072e-07
4528491,-3.306455443e-06
4546751,-4.025297393e-06
4565011,-4.097237661e-06
4583271,-7.166323529e-06
4601531,-1.89725986e-06
4619791,-1.200590237e-06
4638051,-2.71238649e-06
4656311,-1.158912109e-05
4674571,-6.738115876e-06
4692831,-5.678408965e-06
4711091,-1.703098859e-06
4729351,-1.216796327e-05
4747611,-1.192508927e-05
4765871,-3.263739861e-06
4784131,-6.493752277e-06
4802391,-8.892645116e-06
4820651,-1.362585877e-05
4838911,-1.806245215e-06
4857171,-6.540036405e-06
4875431,-3.562603537e-06
4893691,-1.168972586e-05
4911951,-5.298597892e-06
4930211,-1.195122805e-06
4948471,-5.008934349e-07
4966731,-6.185303026e-06
4984991,-4.851466238e-06
5003251,-3.773550188e-06
5021511,-4.601719138e-06
5039771,-1.069233877e-06
5058031,-6.452762953e-07
