"Hermite4thOrder_time","Hermite4thOrder_energyChange"
388949,-3.589190187e-06
390775,-3.605272626e-06
392601,-3.624995198e-06
394427,-3.639065177e-06
396253,-3.655849756e-06
398079,-3.675692667e-06
399905,-3.689551387e-06
401731,-3.707438949e-06
403557,-3.726092233e-06
405383,-3.741028996e-06
407209,-3.758612447e-06
409035,-3.777199871e-06
410861,-3.792970467e-06
412687,-3.810191908e-06
414513,-3.829276002e-06
416339,-3.844522088e-06
418165,-3.862747769e-06
419991,-3.881188669e-06
421817,-3.896783242e-06
423643,-3.916069731e-06
425469,-3.933126939e-06
427295,-3.950059988e-06
429121,-3.968886676e-06
430947,-3.986042866e-06
432773,-4.003454021e-06
434599,-4.022313005e-06
436425,-4.039814683e-06
438251,-4.056519993e-06
440077,-4.076677102e-06
441903,-4.093190582e-06
443729,-4.110468047e-06
445555,-4.131473509e-06
447381,-4.146849893e-06
449207,-4.165264255e-06
451033,-4.185512791e-06
452859,-4.201441625e-06
454685,-4.219821132e-06
456511,-4.240248952e-06
458337,-4.256680437e-06
460163,-4.27424523e-06
461989,-4.29558564e-06
463815,-4.311101985e-06
465641,-4.329541166e-06
467467,-4.350856665e-06
469293,-4.36612464e-06
471119,-4.385550527e-06
472945,-4.405377964e-06
474771,-4.421794038e-06
476597,-4.440745508e-06
478423,-4.460619214e-06
480249,-4.477794341e-06
482075,-4.496205657e-06
483901,-4.516427065e-06
485727,-4.532744322e-06
487553,-4.552235676e-06
489379,-4.571585308e-06
491205,-4.588354787e-06
493031,-4.608787072e-06
494857,-4.626489396e-06
496683,-4.644409974e-06
498509,-4.664016393e-06
500335,-4.681866822e-06
502161,-4.700029066e-06
503987,-4.719686179e-06
505813,-4.737750284e-06
507639,-4.754844884e-06
509465,-4.77560666e-06
511291,-4.792224188e-06
513117,-4.809948879e-06
514943,-4.831289342e-06
516769,-4.846761663e-06
518595,-4.865440824e-06
520421,-4.88558275e-06
522247,-4.901424416e-06
524073,-4.919573406e-06
525899,-4.939868944e-06
527725,-4.956067481e-06
529551,-4.973306508e-06
531377,-4.994265134e-06
533203,-5.009084649e-06
535029,-5.027020808e-06
536855,-5.047381845e-06
538681,-5.062066815e-06
540507,-5.080819764e-06
542333,-5.099538623e-06
544159,-5.115173754e-06
545985,-5.132938808e-06
547811,-5.151503908e-06
549637,-5.167486058e-06
551463,-5.184803665e-06
553289,-5.203587889e-06
555115,-5.218546443e-06
556941,-5.236768246e-06
558767,-5.254136022e-06
560593,-5.26948949e-06
562419,-5.288295566e-06
564245,-5.304162896e-06
566071,-5.320582632e-06
567897,-5.338449182e-06
569723,-5.354311637e-06
571549,-5.370511654e-06
573375,-5.388457093e-06
575201,-5.404323405e-06
577027,-5.419596094e-06
578853,-5.438661141e-06
580679,-5.453016813e-06
582505,-5.468862615e-06
584331,-5.488083499e-06
586157,-5.501482684e-06
587983,-5.518158378e-06
589809,-5.536398289e-06
